Date,Open,High,Low,Close,Adj Close,Volume
05-02-2013,162.75,162.789993,161.330002,161.960007,161.960007,8979400
06-02-2013,162.130005,162.630005,161.990005,162.389999,162.389999,6138700
07-02-2013,161.240005,162.960007,161.130005,161.839996,161.839996,12827200
08-02-2013,161.460007,162.020004,161.199997,161.570007,161.570007,6085900
11-02-2013,159.779999,159.979996,159.25,159.699997,159.699997,12083500
12-02-2013,159.350006,160.050003,158.880005,159.889999,159.889999,7632300
13-02-2013,159.600006,159.639999,158.770004,159.050003,159.050003,8961300
14-02-2013,159.309998,159.649994,158.039993,158.350006,158.350006,12410200
15-02-2013,156.419998,156.580002,154.559998,155.759995,155.759995,23374100
19-02-2013,155.800003,155.839996,154.929993,155.330002,155.330002,11803900
20-02-2013,153.899994,153.929993,150.839996,151.440002,151.440002,30924000
21-02-2013,152,153.410004,151.899994,152.619995,152.619995,17964800
22-02-2013,152.259995,152.990005,151.929993,152.970001,152.970001,10093200
25-02-2013,153.520004,154.559998,153.309998,154.339996,154.339996,9488200
26-02-2013,154.389999,156.800003,153.320007,156.220001,156.220001,18182300
27-02-2013,155.460007,155.600006,154.080002,154.570007,154.570007,9596100
28-02-2013,154.089996,154.160004,152.389999,153,153,14864400
01-03-2013,153.160004,153.610001,152.139999,152.440002,152.440002,11178800
04-03-2013,152.449997,152.740005,151.869995,152.300003,152.300003,6643800
05-03-2013,153.100006,153.389999,152.110001,152.380005,152.380005,10804200
06-03-2013,152.169998,153.380005,151.649994,153.229996,153.229996,10856000
07-03-2013,153.020004,153.210007,152.399994,152.690002,152.690002,6586700
08-03-2013,151.610001,153.289993,151.399994,152.710007,152.710007,11859500
11-03-2013,152.820007,153.059998,152.649994,152.990005,152.990005,4810700
12-03-2013,154.070007,154.690002,153.899994,154.190002,154.190002,7265700
13-03-2013,154.259995,154.600006,153.419998,153.660004,153.660004,7436400
14-03-2013,153.020004,154.169998,153.009995,153.679993,153.679993,11410400
15-03-2013,154.119995,154.720001,153.970001,154,154,5701300
18-03-2013,155.699997,155.929993,155,155.380005,155.380005,9302400
19-03-2013,155.220001,156.339996,155.100006,156.080002,156.080002,11023400
20-03-2013,155.529999,155.830002,154.880005,155.369995,155.369995,8221500
21-03-2013,156.169998,156.429993,155.880005,156.25,156.25,4992000
22-03-2013,155.449997,155.990005,155.419998,155.550003,155.550003,4746300
25-03-2013,154.710007,155.570007,154.360001,155.240005,155.240005,6819100
26-03-2013,154.470001,154.910004,154.279999,154.720001,154.720001,7388700
27-03-2013,154.669998,155.619995,154.509995,155.360001,155.360001,6717000
28-03-2013,154.5,154.800003,154.220001,154.449997,154.449997,6851200
01-04-2013,154.570007,154.929993,154.300003,154.669998,154.669998,4288100
02-04-2013,153.089996,153.309998,152.259995,152.429993,152.429993,9398300
03-04-2013,152.020004,152.529999,149.919998,150.729996,150.729996,15740800
04-04-2013,149.649994,150.600006,149.440002,150.289993,150.289993,12429000
05-04-2013,151.539993,152.960007,151.070007,152.809998,152.809998,14491800
08-04-2013,152.389999,152.589996,151.600006,152.160004,152.160004,6246000
09-04-2013,152.320007,153.850006,152.279999,153.339996,153.339996,7042200
10-04-2013,152.669998,152.710007,150.580002,150.75,150.75,18507400
11-04-2013,150.759995,151.710007,150.630005,151.050003,151.050003,8063200
12-04-2013,148.649994,148.850006,143.429993,143.949997,143.949997,55601800
15-04-2013,136,136.75,130.509995,131.309998,131.309998,93804200
01-05-2013,140.589996,141.550003,139.300003,141.110001,141.110001,13931100
02-05-2013,142,142.470001,141.639999,141.919998,141.919998,11502200
03-05-2013,141.699997,142.710007,141.399994,142.089996,142.089996,11667100
06-05-2013,142.330002,142.460007,141.630005,142.149994,142.149994,7730300
07-05-2013,140.380005,140.639999,139.369995,140.380005,140.380005,13627400
08-05-2013,141.779999,142.809998,141.490005,142.460007,142.460007,11161100
09-05-2013,141.330002,142.360001,140.509995,140.809998,140.809998,8263000
10-05-2013,138.220001,139.75,137.259995,139.600006,139.600006,14650600
13-05-2013,138.460007,138.970001,138.160004,138.429993,138.429993,6714100
14-05-2013,137.949997,139.160004,137.639999,137.809998,137.809998,9895700
